half_year,tmax,tmin,af,rainfall,sun
latter,18.2,11.2,0,106.5,127.5
latter,16.9,10.6,0,74,106.5
latter,11.8,6.2,2,239.8,106.5
latter,9.1,3.4,3,157.5,61.4
latter,8.7,3.1,5,121.3,35.4
first,6.9,2.7,4,199.1,41.2
first,7.6,2.2,7,101.5,87.6
first,10.1,3.5,5,107.2,117
first,13.3,5.6,3,66.5,123.7
first,16,8.4,0,80.9,159.5
first,17.5,9,0,97.1,157.7
latter,20.2,12.3,0,71.4,167.8
latter,19.1,11.3,0,45.4,153.4
latter,17.8,11.5,0,143.7,118.7
latter,13.1,7.6,0,59.6,82.1
latter,10,4.5,0,184.2,61.9
latter,6.4,0.9,9,297.1,40.1
